urduWord,romanUrdu,devanagri,englishWord,hindiWord,wordClass,origin,englishMeaning,useInTense
اتفاق,Ihtifaak,इहतिफ़ाक़,Agreement,समझौता,Noun,Arabic,Coincidence or chance. It refers to an event or occurrence that happens by chance or unexpectedly.,"Ihtifaak se humara milna mujhe lagta hai ke ek naseeb ka khel tha, jo humein ek doosre ke qareeb le aaya."
اخلاص,Ikhlass,इखलास,sincerely,निःस्वार्थ भाव,Noun,Arabic,Sincerity or purity. It denotes genuine intention or purity of heart.,"Tumhara ikhlass hi meri taaqat hai, jo mujhe har mushkil waqt mein himmat aur sahara deta hai."
اختلاط,Ikhtilat,इख़्तिलात,Confusion,भ्रम,Noun,Arabic,Mixture or blending. It refers to the act of mixing or combining different elements.,Tumhare ikhtilat aur sath se mujhe zindagi ke har rang aur roop ko samajhne ka mauka mila.
اختیار,Ikhtiyaar,इख़्तियार,Authority,प्राधिकार,Noun,Arabic,Choice or option. It signifies the freedom or ability to choose among alternatives.,"Har shakhs ko apne faisle ka ikhtiyaar hona chahiye, taake woh apni zindagi ko apne tarike se jee sake."
علم,Ilm,इल्म,Knowledge,ज्ञान,Noun,Arabic,Knowledge or learning. It refers to information or understanding acquired through study or experience.,Ilm hi woh roshni hai jo andheron ko mita kar insaan ko raaste dikhlata hai aur usse aage badhne ka hosla deta hai.
التزا,Ilteza,इल्तेज़ा,Request,अनुरोध,Noun,Arabic,Request or plea. It denotes an earnest request or appeal made to someone.,Ilteza: Meri ilteza hai ke tum apne dil ki suno aur us raaste par chalo jo tumhe khushi aur sukoon de.
امداد,Imdaad,इमदाद,Help,सहायता,Noun,Arabic,Assistance or help. It refers to aid or support given to someone in need.,"Usne gareebon ki imdaad ke liye paisay diye, taki unke ghar ka chulaa jale aur bachay bhookay na soyein."
امکان,Imkaan,इम्कान,Possibility,संभावना,Noun,Arabic,Possibility or capability. It denotes the potential or feasibility of something happening or being done.,"Tumharey safar ka imkaan bahut kam hai, lekin agar tum mehnat karo toh kuch bhi mumkin hai."
امروز,Imroz,इमरोज़,Today,आज,Noun,Persian,Today or nowadays. It refers to the current day or the present time.,"Imroz ka din bohot achha guzra, kyunki main apne puranay doston se milne gaya tha aur humne purani yaadein taza ki."
عنایت,Inaayat,इनायत,Favor,कृपा,Noun,Arabic,"Kindness or favor. It signifies an act of grace, kindness, or favor shown towards someone.","Ustad ki inaayat se main pass ho gaya, varna yeh imtihan mere liye bohot mushkil tha."
انکار,Inkaar,इन्कार,Denial,निषेध ,Noun,Arabic,Denial or rejection. It denotes the act of refusing or rejecting something.,"Usne mere dastoor ko inkaar kar diya, lekin main phir bhi apne faislay par qayam hoon."
انسان,Insaan,इंसान,Human,मानव,Noun,Arabic,Human or person. It refers to an individual belonging to the human species.,"Har insaan ko mohabbat aur izzat ki zaroorat hoti hai, kyunki bina inke zindagi adhoori lagti hai."
انسانیت,Insaaniyat,इंसानियत,Humanity,मानवता,Noun,Arabic,"Humanity or humaneness. It denotes qualities such as compassion, kindness, and empathy that characterize human behavior.","Insaaniyat ka taqaza hai ke hum sab ko madad karein, khas tor par unhein jo mushkil mein hain."
انتہا,Intiha,इन्तिहा,Extreme,अत्यंत,Noun,Arabic,Limit or extreme. It refers to the utmost extent or boundary of something.,"Uski mehnet ki intiha dekh kar sab hairaan ho gaye, kyunki usne namumkin ko mumkin bana diya."
انتظار,Intizaar,इंतज़ार,Waiting,प्रतीक्षा,Noun,Arabic,Waiting or anticipation. It signifies the act of waiting expectantly for something to happen.,"Main tumhare jawab ka intizaar kar raha hoon, aur yeh intizaar din ba din mushkil hota ja raha hai."
اقرار,Iqraar,इक़रार,Confession,स्वीकृति,Noun,Arabic,Admission or confession. It denotes the act of acknowledging or confessing something.,"Usne apne jurm ka iqraar kar liya, aur is iqraar ne sab ko hairaan kar diya."
ارادہ,Iraada,इरादा,Intention,उद्देश्य,Noun,Arabic,Intention or purpose. It refers to a planned or deliberate aim or objective.,"Mera iraada hai ke main agle saal Amreeka jaoon, aur wahan apni taleem ko aage badhaoon."
اشارہ,Ishaara,इशारा,Signal,संकेत,Noun,Arabic,Gesture or sign. It denotes a physical movement or signal used to convey a message or command.,"Usne mujhe aankh maar kar ishaara diya, aur main samajh gaya ke uska kya matlab hai."
عشق,Ishq,इश्क़,Love,प्यार,Noun,Arabic,"Love or passion. It signifies intense affection, love, or longing, often used in poetic and romantic contexts.","Ishq mein log apni hosh kho baithte hain, aur phir unhein sirf apne mehboob ki yaad rehti hai."
اتفاق,ittefaq,इतेफ़ाक़,Coincidence,संयोग,Noun,Arabic,Coincidence or chance. It refers to an event or occurrence that happens unexpectedly or by chance.,"Ittefaq se hum dono ek hi shehar mein mil gaye, aur yeh mulaqat humare liye yaadgaar ban gayi."
موافقت,muwafaqat,मुआफ़िक़त ,Agreement,सहमति,Noun,Arabic,"Agreement or harmony. It signifies consensus, conformity, or agreement between parties.","Hamari baat par muwafaqat ho gayi, aur ab hum mil kar is project par kaam karenge."
اظہار,Izhaar,इज़्हार,Expression,अभिव्यक्ति,Noun,Arabic,Expression or manifestation. It refers to the act of expressing or revealing something.,"Usne apne jazbaat ka izhaar khullam khulla kar diya, aur sabne uski himmat ki tarif ki."
اضطراب,Iztiraab,इज़्तिराब,Anxiety,चिंता,Noun,Arabic,"Anxiety or unrest. It denotes a state of unease, worry, or agitation.","Mera dil iztiraab se bhar gaya jab maine yeh khabar suni, aur main sochta raha ke ab kya hoga."
اضطرار,Iztiraar,इज़्तिरार,Compulsion,मजबूरी,Noun,Arabic,Compulsion or necessity. It refers to a state of being compelled or forced to do something.,"Iztiraar mein insaan se galat faislay hote hain, is liye hamesha soch samajh kar faisla lena chahiye."
عزت,Izzat,इज़्ज़त,Respect,आदर,Noun,Arabic,"Honor or respect. It signifies dignity, prestige, or a sense of self-worth.","Hamein har insaan ki izzat karni chahiye, chahe woh chota ho ya bada."
جائزہ,Jaaeza,जाएज़ा,Review,समीक्षा,Noun,Arabic,Reward or compensation. It denotes a prize or recognition given in return for effort or achievement.,"Woh har cheez ka gehra jaaeza leta hai, taki koi kami na reh jaye."
جان,Jaan,जान,Life,जीवन,Noun,Arabic,Life or soul. It refers to the essence or spirit of a living being.,"Woh meri jaan se bhi pyara hai, aur main uske bina zindagi ka tasavvur bhi nahi kar sakta."
جاودان,Jaavedaan,जावेदाँ,Eternal,शाश्वत,Noun,Persian,Eternal or everlasting. It signifies something that lasts forever or is timeless.,"Ishq jaavedaan hai, aur yeh kabhi khatam nahi hota."
جبین,Jabeen,जबीन,Forehead,माथा,Noun,Persian,Forehead or brow. It refers to the part of the face above the eyes and below the hairline.,"Uski jabeen se paseena beh raha tha, kyunki woh bohot der se kaam kar raha tha."
جدید,Jadeed,जदीद,Modern,आधुनिक,Adjective,Arabic,"New or modern. It denotes something that is recent, innovative, or contemporary.","Main ne jadeed technology apna li hai, taki mera kaam aur bhi asaan ho jaye."
جہاں,Jahaan,जहाँ,World,दुनिया,Noun,Persian,"World or universe. It refers to the entire physical or material universe, often used to mean the Earth or life in general.","Pura jahaan uski tarif karta hai, kyunki usne aisi cheez ki hai jo koi soch bhi nahi sakta tha."
جہاز,Jahaaz,जहाज़,Ship,नौका,Noun,Arabic,Ship or vessel. It refers to a large watercraft used for transportation on water.,"Hum jahaaz mein safar karte hain, aur har safar ek nayee tajurbaat se bhara hota hai."
جلال,Jalaal,जलाल,Majesty,महिमा,Noun,Arabic,"Majesty or grandeur. It denotes splendor, magnificence, or an impressive appearance.","Uske chehre par jalaal tha, aur uski baatein sab par gehra asar chhod rahi thi."
جمال,Jamal,जमाल,Beauty,सौंदर्य,Noun,Arabic,Beauty or grace. It signifies physical attractiveness or charm.,"Uske chehre ka jamal sab ko pasand aata hai, aur uski muskurahat sabko apna deewana bana deti hai."
جنگ,Jang,जंग,War,युद्ध,Noun,Arabic,War or battle. It refers to armed conflict or a state of hostility between nations or groups.,"Dono mulkon mein jang chal rahi hai, aur is jang ne bohot se maasoom logon ki jaan le li hai."
جنت,Jannat,जन्नत,Paradise,स्वर्ग,Noun,Arabic,Paradise or heaven. It denotes a place of ultimate bliss and happiness in Islamic belief.,"Woh jagah jannat ki tarah khoobsurat hai, aur wahan ka manzar dekh kar dil khush ho jata hai."
جواز,Javaaz,जवाज़,Justification,औचित्य,Noun,Arabic,Permission or authorization. It signifies approval or consent to do something.,"Tumhare paas koi javaaz nahi hai is harkat ka, aur tumhein apne ghalat kaam par sharmindagi mehsoos karni chahiye."
جذب,Jazb,जज़्ब,Absorption,विलीनता,Noun,Arabic,Attraction or inclination. It refers to an emotional or intellectual attraction towards something.,"Uski baaton ka mujh par gehra jazb hua, aur main uski har baat ko manane laga."
جذبہ,Jazba,जज़्बा,Passion,जुनून,Noun,Arabic,"Emotion or passion. It denotes a strong feeling or sentiment, often intense and heartfelt.","Uska jazba dekh kar main hairaan ho gaya, kyunki usne apne maqsad ke liye bohot mehnat ki."
جذبات,Jazbaat,जज़्बात,Emotions,भावनाएँ,Noun,Arabic,Emotions or feelings. It refers to the inner sentiments or emotional reactions of a person.,"Mere jazbaat tum samajh nahi sakte, kyunki tumhare dil mein waise jazbaat nahi hain."
جھگڑا,Jhagda,झगड़ा,Dispute,विवाद,Noun,Hindi,Quarrel or argument. It signifies a heated exchange of words or a dispute.,"Bachay apas mein jhaga kar rahe the, aur main unhein sulah karwane ki koshish kar raha tha."
جھلک,Jhalak,झलक,Glimpse,झलक,Noun,Hindi,Glimpse or sight. It refers to a brief or fleeting view of something.,"Uski jhalak dekh kar mera dil khush ho gaya, aur main uske kareeb aane ki koshish karne laga."
جھیل,Jheel,झील,Lake,झील,Noun,Hindi,"Lake or pond. It denotes a body of standing water, often smaller than a lake.","Hum jheel ke kinare baith kar baat kar rahe the, aur pani ki lehren humare dil ko sukoon de rahi thi."
جسم,Jism,जिस्म,Body,शरीर,Noun,Arabic,Body or physique. It refers to the physical structure or anatomy of a living being.,"Uska jism dard se bhar gaya tha, kyunki usne bohot der tak mehnet ki thi."
جوش,Josh,जोश,Zeal,उत्साह,Noun,Persian,"Passion or enthusiasm. It signifies fervor, zeal, or intense excitement.","Usne josh mein aakar faisla kiya, aur baad mein usey is faisle par pachtawa hua."
جدائی,Judayi,जुदाई,Separation,अलगाव,Noun,Arabic,Separation or departure. It denotes the act of parting or being apart from someone or something.,"Judayi ka gham sahna mushkil hota hai, magar kabhi kabhi judayi bhi zaroori hoti hai."
جنبش,Jumbish,जुम्बिश,Movement,गति,Noun,Persian,Movement or motion. It refers to a physical or figurative movement or activity.,"Ek jumbish se sab kuch badal gaya, aur humare saath bohot kuch naya hone laga."
جنون,Junoon,जुनून,Madness,विक्षिप्तता,Noun,Persian,Obsession or madness. It signifies extreme passion or obsession for something.,"Us par junoon sawaar ho gaya tha, aur usne apne maqsad ko haasil karne ke liye har cheez qurban kar di."
جستجو,Justajoo,जुस्तजू,Quest,खोज,Noun,Arabic,Desire or longing. It refers to a strong wish or craving for something.,"Mujhe har jagah uski justajoo thi, magar woh kahin nazar nahi aayi."
کاوش,Kaavish,काविश,Effort,प्रयास,Noun,Arabic,Effort or endeavor. It signifies a concerted or deliberate attempt to achieve something.,"Tumhari kaavish rang layegi, aur tumhe apne mehnat ka phal zaroor milega."
خبر,Khabar,ख़बर,News,समाचार,Noun,Arabic,News or information. It refers to tidings or updates about current events.,"Mujhe ek buri khabar mili hai, aur main soch raha hoon ke ab kya karoon."
قبر,Kabr,क़ब्र,Grave,गोर ,Noun,Arabic,Grave or tomb. It denotes a burial place for the dead.,"Uski kabr par phool rakh diye gaye, aur sab ne uske liye dua ki."
کہانی,Kahaani,कहानी,Story,कथा,Noun,Arabic,"Story or tale. It refers to a narrative or account of events, often fictional or based on real-life incidents.","Usne ek dilchasp kahaani sunayi, aur sab log uski kahani sunkar hairaan ho gaye."
کیفیت,Kaifiyat,कयफ़ियत,Condition,स्थिति,Noun,Arabic,Condition or situation. It signifies the state or status of something at a particular time.,"Uski kaifiyat dekh kar main pareshan ho gaya, kyunki uske chehre par bohot gham tha."
کمرہ,Kamra,कमरा,Room,कक्ष ,Noun,Arabic,Room or chamber. It refers to an enclosed space within a building used for specific purposes.,"Mera kamra bohot chhota hai, magar phir bhi main usmein apne sapne sajata hoon."
کمزوری,Kamzori,कमज़ोरी,Weakness,दुर्बलता,Noun,Arabic,Weakness or frailty. It denotes a lack of strength or vigor.,"Uski kamzori ke bawajood, usne kabhi himmat nahi haari aur apne maqsad ko haasil kar liya."
کشش,Kashish,कशिश,Attraction,आकर्षण,Noun,Arabic,Attraction or charm. It refers to the appeal or allure of someone or something.,Uski baaton mein aisi kashish thi ke sab uski taraf khinchte chale aate the.
قطرہ,Qatra,कतरा,Drop,बूँद,Noun,Arabic,Drop or droplet. It denotes a small amount of liquid.,Samundar ka har katra apne andar ek kahani chhupaye hue hai.
کہر,Keher,केहर,Wrath,कोप,Noun,Persian,Turmoil or upheaval. It signifies a state of disorder or disturbance.,Badshah ka keher itna zyada tha ke usne apne dushman ko maaf nahi kiya.
خالص,Khaalis,ख़ालिस,Pure,शुद्ध,Adjective,Arabic,"Pure or sincere. It denotes something that is genuine, without any impurities or ulterior motives.","Mujhe tumse sirf khaalis dosti chahiye, bina kisi matlab ke."
خاموشی,Khaamoshi,ख़ामोशी,Silence,चुप्पी,Noun,Persian,Silence or quietness. It refers to the absence of sound or noise.,"Uski khaamoshi mein bhi ek ajeeb sa dard tha, jo sabko mehsoos hota tha."
خار,Khaar,ख़ार,Thorn,कांटा,Noun,Arabic,"Thorn or prick. It signifies a sharp, pointed projection on a plant or object.","Us raste mein kai khaar the, magar usne apne iradon ko majboot rakha."
خفا,Khafaa, खफा,Angry,गुस्सा,Adjective,Arabic,Hidden or secret. It refers to something that is kept concealed or private.,"Woh mujhse khafaa ho gaya, kyunki maine uski baat nahi maani."
خیر,Khair,ख़ैर,Goodness,भलाई,Noun,Arabic,"Goodness or welfare. It denotes well-being, prosperity, or benefit.","Tumhari har baat mein sirf khair hi khair hai, aur main tumhare mashware ko zaroor maanunga."
خیریت,Khairiyat,ख़ैरियत,Safety,सुरक्षा,Noun,Arabic,Well-being or health. It signifies the state of being in good health or condition.,Tumhari khairiyat ke liye main har roz dua karta hoon.
خاموش,Khamosh,ख़ामोश,Silent,शांत,Noun,Persian,Silent or quiet. It refers to a state of being without sound or noise.,"Woh hamesha khamosh rehta hai, lekin uski aankhein sab kuch bayan kar deti hain."
خمیازہ,Khamyaaza,ख़म्याज़ा,Consequence,परिणाम,Noun,Persian,Revenge or retaliation. It denotes the act of repaying harm or injury inflicted upon oneself.,"Galti ka khamyaaza hamesha bhugatna padta hai, isliye soch samajh kar faisla lena chahiye."
 خانہ بدوش,Khana-ba-dosh,खाना-बदोश,Nomad,घुमंतू,Noun,Persian,Homeless or vagrant. It refers to a person who lacks a permanent residence or shelter.,"Woh khana-ba-dosh tha, aur uska koi thikana nahi tha."
خطا,Khata,ख़ता,Mistake,चूक,Noun,Arabic,Mistake or error. It signifies a fault or incorrect action.,"Maine jo khata ki, uska mujhe sadaf mil gaya."
خطرہ,Khatra,ख़तरा,Danger,संकट,Noun,Arabic,Danger or risk. It denotes a situation or circumstance that poses a threat or hazard.,"Us raste mein bohot khatra tha, magar usne himmat nahi haari."
خوف,Khauf,ख़ौफ़,Fear,डर,Noun,Arabic,Fear or dread. It signifies a feeling of apprehension or anxiety.,"Uske dil mein kabhi khauf nahi tha, woh hamesha bahadur raha."
خوابیدہ,Khawabeeda,ख़वाबीदा,Asleep,सोया,Noun,Persian,Unreal or imaginary. It refers to something that exists only in dreams or fantasies.,"Woh khawabeeda thi, aur uski aankhon mein sapne saje hue the."
خیال,Khayaal,ख़याल,Thought,विचार,Noun,Arabic,Thought or idea. It denotes a mental conception or notion.,Tumhare khayaal ka mujhe hamesha intezar rahta hai.
خیالی,Khayali,ख़याली,Imaginary,काल्पनिक,Adjective,Arabic,Imaginary or visionary. It refers to something that exists in imagination or is visionary in nature.,"Usne ek khayali dunya basayi thi, jo asal se bohot door thi."
خرد,Khirad,ख़िराद,Wisdom,ज्ञान,Noun,Arabic,"Intellect or reason. It signifies the faculty of thinking, understanding, and reasoning.",Uski khirad ne har mushkil ka hal nikal diya.
خرمن,Khirman,ख़िरमान,Harvest,फसल,Noun,Persian,Harvest or crop. It refers to the yield or produce of cultivated plants.,Uski khirman mein har taraf fasal hi fasal thi.
خوبصورت,Khubsoorat,ख़ुबसूरत,Beautiful,सुंदर,Adjective,Persian,Beautiful or attractive. It describes something or someone that is aesthetically pleasing.,"Woh larki bohot khubsoorat hai, aur uski muskurahat dil ko choo leti hai."
خوبصورتی,Khubsoorti,ख़ुबसूरती,Beauty,सौंदर्य,Noun,Persian,Beauty or elegance. It denotes the quality of being beautiful or attractive.,Uski khubsoorti ko dekh kar sab deewane ho gaye.
 خود سر,Khud-sar,ख़ुदसर,Stubborn,ज़िद्दी,Noun,Persian,Self-reliant or independent. It refers to someone who is self-sufficient or self-supporting.,"Woh bohot khud-sar hai, aur kisi ki nahi sunta."
خود غرض,Khudgarz,ख़ुदग़र्ज़,Selfish,आत्मीय,Noun,Persian,Selfish or self-centered. It describes someone who acts in their own self-interest without regard for others.,"Woh itna khudgarz hai ke sirf apne fayde ke baare mein sochta hai, doosron ki parwah nahi karta."
خلد,Khuld,ख़ुल्द,Paradise,स्वर्ग,Noun,Arabic,Eternal or everlasting. It refers to something that is perpetual or timeless.,"Usne kaha ke unka ghar unke liye khuld se kam nahi, kyunki wahan har sukoon aur raahat hai."
خمار,Khumaar,ख़ुमार,Intoxication,नशा,Noun,Arabic,"Intoxication or inebriation. It denotes a state of being under the influence of alcohol or drugs, or metaphorically, captivated by something.","Uski aankhon mein pyaar ka khumaar tha, jo mujhe apni taraf kheench raha tha."
خورشید,Khursheed,ख़ुर्शीद,Sun,सूर्य,Noun,Persian,Sun or sunshine. It signifies the celestial body that provides light and warmth to the Earth.,"Khursheed ki roshni se har taraf ujala ho gaya, aur sab kuch roshan lagne laga."
خوش,Khush,ख़ुश,Happy,खुश,Adjective,Persian,Happy or pleased. It denotes a state of contentment or satisfaction.,Main bohot khush hoon kyunki aaj mujhe apne sapne ko haasil karne ka mauka mila.
 خوش نصیب,Khush-naseeb,ख़ुशनसीब,Fortunate,भाग्यशाली,Noun,Persian,Fortunate or lucky. It describes someone who is blessed with good fortune or luck.,"Woh khush-naseeb hai, kyunki uske paas pyar karne wali family aur doston ka saath hai."
خوشبو,Khushbu,ख़ुशबू,Fragrance,सुगंध,Noun,Persian,Fragrance or scent. It refers to a pleasant or sweet-smelling aroma.,"Phoolon ki khushbu ne poore kamray ko mehka diya, aur sabko taskeen de rahi thi."
خوشی,Khushi,ख़ुशी,Happiness,खुशी,Noun,Persian,Happiness or joy. It signifies a feeling of delight or pleasure.,"Tumhari khushi mere liye sab kuch hai, aur main tumhe hamesha khush dekhna chahta hoon."
خوشتر,Khushtar,ख़ुश्तर,Happier,खुशतर,Adjective,Persian,Clever or sharp. It describes someone who is quick-witted or intellectually astute.,"Uski awaaz bohot khushtar thi, aur sabko apni taraf khincha."
خطوط,Khutoot,ख़ुतूत,Letters,अक्षर,Noun,Arabic,Letters or correspondence. It refers to written communications or messages exchanged between individuals.,Tumhare khutoot ne mujhe purani yaadon mein le jaane par majboor kar diya.
خواب,Khwaab,ख़्वाब,Dream,सपना,Noun,Arabic,"Dream or vision. It denotes a series of thoughts, images, or emotions occurring during sleep.","Main har raat tumhare khwaab dekhta hoon, aur in khwaabon mein hi apni khushi talash karta hoon."
خواہش,Khwaish,ख़्वाहिश,Wish,इच्छा,Noun,Arabic,Desire or wish. It signifies a longing or yearning for something.,Meri khwaish hai ke main ek din duniya bhar mein apne naam ko roshan karoon.
کتاب,Kitaab,किताब,Book,पुस्तक,Noun,Arabic,Book or manuscript. It denotes a written or printed work of literature or information.,"Usne mujhe ek nayi kitaab di, jo bohot hi dilchasp aur maloomat se bharpoor thi."
کوشش,Koshish,कोशिश,Effort,प्रयास,Noun,Arabic,Effort or attempt. It signifies a deliberate action or endeavor to achieve something.,"Tumhari har koshish rang layegi, bas apni mehnat aur himmat banaye rakho."
لازمی,Laazmi,लाज़मी,Necessary,आवश्यक,Adjective,Arabic,Necessary or essential. It denotes something that is indispensable or obligatory.,"Tumhara imtihaan dena laazmi hai, agar tumhe agle darje mein jaana hai."
لب,Labb,लब्ब,Lips,होंठ,Noun,Arabic,"Lips. It refers to the fleshy parts surrounding the mouth that are used for speaking, eating, and kissing.","Uske labb hamesha muskurahat se sajae rehte hain, aur yeh muskurahat sabko pasand hai."
لبریز,Labraiz,लब्रेज़,Overflowing,बहुतायत,Adjective,Arabic,Eloquent or articulate. It describes someone who speaks or writes in a fluent and persuasive manner.,"Uska dil pyaar se labraiz tha, aur woh sabko pyar aur mohabbat se dekhta tha."
لفظ,Lafz,लफ़्ज़,Word,शब्द,Noun,Arabic,Word or term. It signifies a unit of language used to express meaning.,"Uske lafz bohot gehre aur asar daaar the, jo har dil ko choo lete the."
لمحہ,Lahza,लहज़ा,Moment,पल,Noun,Arabic,Moment or instant. It denotes a brief or short period of time.,"Har lahza jo humne saath guzaara, woh meri zindagi ka haseen hisa ban gaya."
لالچ,Lalach,लालच,Greed,लोभ,Noun,Arabic,Greed or avarice. It refers to an excessive desire for material wealth or gain.,"Lalach buri bala hai, isliye hamesha apni zarooraton ko samajh kar faisla lena chahiye."
لرزش,Larzish,लर्ज़िश,Tremor,कंपन,Noun,Arabic,Tremor or quiver. It denotes a slight shaking or vibration.,"Uski awaaz mein larzish thi, jo uske dil ki bechaini ko bayan kar rahi thi."
لطیف,Lateef,लतीफ़,Gentle,कोमल,Adjective,Arabic,Gentle or subtle. It describes something that is delicate or refined in nature.,"Tumhara mizaj bohot lateef hai, aur yeh tumhari sabse achi khasiyat hai."
لذیذ,Lazeez,लज़्ज़ीज़,Delicious,स्वादिष्ट,Adjective,Arabic,Delicious or tasty. It signifies something that has a pleasing or enjoyable taste.,"Tumhare haath se bana khana hamesha lazeez hota hai, jo sabko pasand aata hai."
لذت,Lazzat,लज़्ज़त,Delight,आनंद,Noun,Arabic,Pleasure or delight. It refers to the enjoyment or satisfaction derived from something.,Usne khane ka lazzat mehsoos kiya aur bola ke aisa swaad pehle kabhi nahi chaka.
لہجہ,Lehjaa,लहज़ा,Accent,उच्चार,Noun,Persian,Accent or tone. It denotes the manner or style of pronunciation or expression.,"Tumhara lehjaa bohot narm aur pyara hai, jo sabko apna deewana bana leta hai."
لحاظ,Lihaaz,लिहाज़,Respect,सम्मान,Noun,Arabic,Respect or regard. It signifies consideration or esteem shown towards someone.,"Tumhe har kisi ka lihaaz karna chahiye, chahe woh tumse chhota ho ya bada."
لطف,Lutf,लुत्फ़,Pleasure,आनंद,Noun,Arabic,Enjoyment or pleasure. It denotes the delight or satisfaction derived from an experience.,Usne gupshup ka lutf uthaya aur sab ke saath mil kar khushiyan manayi.
معدوم,Ma.aduum,मादूम,Nonexistent,अअस्तित्व,Adjective,Arabic,Permanent or lasting. It refers to something that is enduring or perpetual.,"Uski zindagi se khushi ma.aduum ho gayi thi, magar phir bhi usne himmat nahi haari."
ماہر,Mahir,महिर,Expert,विशेषज्ञ,Noun,Arabic,Skilled or proficient. It describes someone who is highly competent or accomplished in a particular field.,"Woh apne kaam mein mahir hai, aur uska har kaam kamal ka hota hai."
ماہرو,Mahru, माह-रू,Moon-faced,चन्द्रमुखी,Noun,Persian,Learned or knowledgeable. It denotes someone who is well-educated or wise.,Woh larki itni mahru thi ke sab uske pyare chehre ko dekhte hi reh gaye.
ماہتاب,Maahtaab,माहताब,Moonlight,चांदनी,Noun,Persian,Moonlight. It refers to the light emitted by the moon.,Maahtaab ki roshni mein raat aur bhi khoobsurat lag rahi thi.
معصوم,Maasoom,मासूम,Innocent,मासूम,Adjective,Arabic,Innocent or blameless. It describes someone who is free from guilt or wrongdoing.,"Uske chehre par ek maasoom muskurahat thi, jo sabke dil ko pighla deti thi."
مدہوش,Madhosh,मदहोश,Intoxicated,मतवाला,Adjective,Persian,Intoxicated or enraptured. It signifies a state of being deeply engrossed or captivated.,"Uski aankhon ne mujhe madhosh kar diya, aur main apna hosh kho baitha."
مفہوم,Mafhoom,मफ़हूम,Meaning,अर्थ,Noun,Arabic,Implication or meaning. It denotes the underlying significance or interpretation of something.,"Uski baaton ka mafhoom samajhne mein mujhe thoda waqt laga, magar phir sab kuch wazeh ho gaya."
محدود,Mahdood,महदूद,Limited,सीमित,Adjective,Arabic,Limited or restricted. It refers to something that is confined or constrained within boundaries.,"Uski soch mahdood thi, magar usne apni mehnat se sab kuch haasil kar liya."
مہ جبین,Mahjabeen,माहजबीन,Beautiful as the moon,चन्द्रकान्ता,Noun,Persian,Moon-faced or beautiful. It describes someone whose face is as beautiful as the moon.,Uski khubsurati ko dekh kar log usay mahjabeen kehte hain.
محروم,Mahroom,महरूम,Deprived,वंचित,Adjective,Arabic,Deprived or lacking. It denotes someone who is deprived of something essential or desirable.,"Woh apni zindagi ke bohot se khushiyon se mahroom raha, lekin kabhi shikayat nahi ki."
محشر,Mahshar,महशर,Judgment,न्याय,Noun,Arabic,Day of Judgment. It refers to the Islamic belief in the final reckoning of deeds in the afterlife.,"Us jagah ka manzar mahshar ka sa lag raha tha, sab log ghabraaye hue the."
مقام,Maqaam,मक़ाम,Place,स्थान,Noun,Arabic,"Position or status. It signifies the rank, place, or standing of someone or something.",Usne apni mehnat se zindagi mein bohot uncha maqaam haasil kar liya.
مخفی,Makhfi,मख़्फ़ी,Hidden,छिपा,Adjective,Arabic,Hidden or concealed. It denotes something that is not easily visible or known.,"Uski asliyat sabse makhfi thi, aur koi nahi jaanta tha ke woh asal mein kaun hai."
مخصوص,Makhsoos,मख़्सूस,Specific,विशिष्ट,Adjective,Arabic,Specific or particular. It refers to something that is designated for a particular purpose or person.,"Yeh makan sirf uske liye makhsoos hai, aur yahan koi aur nahi aa sakta."
ممالک,Mamaalik,ममालिक,Countries,देशों,Noun,Arabic,Countries or nations. It denotes different regions or territories.,Bohot se mamaalik ke log uss conference mein shamil hue the.
مانوس,Manoos,मनूस,Familiar,परिचित,Adjective,Arabic,Unlucky or unfortunate. It describes someone who is plagued by bad luck or misfortune.,"Main is shehar se bohot manoos ho gaya hoon, kyunki yahan ki har cheez mujhe apni lagti hai."
منطق,Mantaq,मंतक,Logic,तर्क,Noun,Arabic,Logic or reasoning. It signifies the process of rational thinking or logical deduction.,"Uski baaton mein bohot mantaq thi, jo sabko samajh aa rahi thi."
منزل,Manzil,मंज़िल,Destination,गंतव्य,Noun,Arabic,Destination or goal. It refers to the place or objective one aims to reach.,Usne apni manzil ko paane ke liye har mushkil ka samna kiya.
مراسم,Maraasim,मरासिम,Relations,संबंध,Noun,Arabic,Relations or connections. It denotes social or personal connections and interactions.,"Hamare maraasim bohot purane hain, aur yeh dosti kabhi nahi tootegi."
مسافت,Masaafat,मसाफ़त,Distance,दूरी,Noun,Arabic,Distance or separation. It refers to the physical or emotional space between two points or individuals.,"Humne apne darmiyan ki masaafat ko khatam kar diya, aur phir se ek ho gaye."
مسیحا,Masheeha,मसीहा,Messiah,मसीहा,Noun,Arabic,Messiah or savior. It refers to a religious figure believed to bring salvation or deliverance.,"Usne apne ilaj se logon ko nayi zindagi di, aur sab usay masheeha kehte hain."
مشغول,Mashghool,मशगूल,Busy,व्यस्त,Adjective,Arabic,Busy or occupied. It describes someone who is engaged or preoccupied with tasks or activities.,Woh apne kaam mein itna mashghool tha ke usay waqt ka pata hi nahi chala.
مشہور,Mashhoor,मशहूर,Famous,प्रसिद्ध,Adjective,Arabic,Famous or renowned. It denotes someone or something that is widely known or celebrated.,Yeh sheher apni khoobsurati aur tareekh ke liye mashhoor hai.
